"id","journal","invitation.date","year","open.review","review.complete","name.published","recommendation","accepted","review.time","polarity","subjectivity","nchar","reviewer.status","gender"
405,1,2010-01-01,0,1,2,1,1,2,28,0.12838763248246,0.408534855948649,4110,1,3
405,1,2010-01-01,0,1,2,1,2,2,16,0.0810266195792511,0.435071010860484,4797,2,2
406,1,2010-01-01,0,1,2,1,1,2,9,0.103333333333333,0.408333333333333,687,3,2
406,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,3,2
406,1,2010-01-01,0,1,2,1,1,2,39,0.134536088911089,0.552789085914086,3904,3,2
407,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,1,2
407,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,3,2
407,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,3,3
407,1,2010-03-01,0,1,2,1,2,2,39,0.119882763975155,0.572633195307109,9081,3,2
407,1,2010-02-01,0,1,2,1,2,2,92,0.213392857142857,0.427931547619048,1242,3,1
408,1,2010-01-01,0,1,2,1,2,2,3,0.184090909090909,0.525554653679654,6337,3,2
408,1,2010-01-01,0,1,2,1,3,2,24,0.104479949874687,0.412750626566416,4051,3,3
409,1,2010-01-01,0,1,1,1,NA,2,NA,0,0,0,3,3
409,1,2010-01-01,0,1,2,1,3,2,48,0.0888827045969903,0.498939136260565,8464,3,1
409,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,3,2
409,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,3,2
410,1,2010-02-01,0,1,2,1,4,2,32,0.0904183783903172,0.435753600141355,7791,3,2
410,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,3,1
410,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,3,3
410,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,1,1
410,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,3,2
410,1,2010-01-01,0,1,2,1,1,2,45,0.116937229437229,0.481457431457431,985,3,2
410,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,3,2
411,1,2010-01-01,0,1,2,1,1,2,27,0.074025974025974,0.359848484848485,1158,3,3
411,1,2010-01-01,0,1,2,1,1,2,6,0.0199403610573823,0.440752740167634,3142,3,2
412,1,2010-01-01,0,1,2,1,1,2,39,0.110714285714286,0.480181405895692,3770,1,1
412,1,2010-01-01,0,1,2,1,3,2,64,0.0680735930735931,0.362527056277056,2868,1,2
412,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,3,2
413,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,3,2
413,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,1,1
413,1,2010-01-01,0,1,2,1,3,2,30,0.0333333333333333,0.294444444444444,688,3,1
413,1,2010-01-01,0,1,2,1,2,2,33,0.142583333333333,0.465,3357,3,2
414,1,2010-01-01,0,1,2,1,2,2,50,0.130081254724112,0.46656462585034,5700,1,2
414,1,2010-01-01,0,1,2,1,3,2,45,0,0,0,3,2
415,1,2010-03-01,0,1,1,1,NA,1,NA,0,0,0,3,1
415,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,1,3
415,1,2010-03-01,0,1,1,1,NA,1,NA,0,0,0,3,2
415,1,2010-03-01,0,1,1,1,NA,1,NA,0,0,0,1,2
415,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,3,2
415,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,1,1
415,1,2010-03-01,0,1,1,1,NA,1,NA,0,0,0,3,2
415,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,1,3
415,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,3,3
415,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,1,2
415,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,2,2
415,1,2010-03-01,0,1,2,1,3,2,48,0.155391929499072,0.380500154607297,1892,3,1
415,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,3,1
415,1,2010-02-01,0,1,2,1,2,2,45,0.0568348214285714,0.329502976190476,5014,1,2
415,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,3,3
416,1,2010-01-01,0,1,2,1,1,2,147,-0.00693181818181819,0.539886363636364,2140,3,1
416,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,3,3
416,1,2010-01-01,0,1,2,1,1,2,60,0.0244994588744589,0.461627435064935,6157,1,1
417,1,2010-01-01,0,1,2,1,2,2,71,0.0730193501277839,0.424710965072411,7767,1,1
417,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,1,2
417,1,2010-02-01,0,1,2,1,2,2,38,0.125733946608947,0.483369769119769,5561,1,2
418,1,2010-02-01,0,1,2,1,1,2,42,0.0987930928720402,0.395802662250031,2038,3,1
418,1,2010-02-01,0,1,2,1,1,2,41,0.0225299873737374,0.508493265993266,2806,3,2
419,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,1,2
419,1,2010-02-01,0,1,2,1,2,2,28,0.0381313131313131,0.358333333333333,2900,3,1
419,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,3,3
419,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,3,2
419,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,1,2
419,1,2010-02-01,0,1,2,1,1,2,23,0.0352130864630865,0.499876418626419,6433,3,3
420,1,2010-01-01,0,1,2,1,2,2,21,0.119220779220779,0.327034632034632,2799,3,2
420,1,2010-01-01,0,1,2,1,2,2,37,0.151272321428571,0.433683035714286,7091,1,2
421,1,2010-01-01,0,1,2,1,2,2,3,0.10006157635468,0.498166392993979,4570,3,2
421,1,2010-01-01,0,1,2,1,2,2,58,0.0391369047619048,0.446037946428571,4899,1,2
422,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,3,2
422,1,2010-04-01,0,1,1,1,NA,1,NA,0,0,0,3,2
422,1,2010-01-01,0,1,1,1,NA,1,NA,0,0,0,1,3
422,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,2,2
422,1,2010-03-01,0,1,1,1,NA,1,NA,0,0,0,3,2
422,1,2010-04-01,0,1,1,1,NA,2,NA,0,0,0,1,3
422,1,2010-04-01,0,1,2,1,3,2,15,0.086957215007215,0.473716907166907,5776,3,2
422,1,2010-01-01,0,1,2,1,2,2,43,0.145952380952381,0.483571428571429,1761,3,3
423,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,3,2
423,1,2010-04-01,0,1,2,1,1,2,32,0.0765469496139599,0.429293301200517,5116,1,3
423,1,2010-02-01,0,1,2,1,3,2,70,0.0481324404761905,0.384233630952381,2396,3,3
423,1,2010-03-01,0,1,1,1,NA,1,NA,0,0,0,3,2
423,1,2010-03-01,0,1,1,1,NA,1,NA,0,0,0,2,3
424,1,2010-03-01,0,1,2,1,1,2,7,-0.0221861471861472,0.361471861471861,1523,3,3
424,1,2010-03-01,0,1,1,1,NA,1,NA,0,0,0,1,2
424,1,2010-02-01,0,1,2,1,4,2,29,0.0527777777777778,0.442142857142857,1376,3,2
424,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,1,2
425,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,3,2
425,1,2010-03-01,0,1,1,1,NA,1,NA,0,0,0,3,3
425,1,2010-03-01,0,1,1,1,NA,1,NA,0,0,0,3,3
425,1,2010-03-01,0,1,1,1,NA,1,NA,0,0,0,3,2
425,1,2010-04-01,0,1,1,1,NA,1,NA,0,0,0,3,2
425,1,2010-04-01,0,1,2,1,2,2,51,0,0,0,3,2
425,1,2010-04-01,0,1,2,1,1,2,38,0.0628703780296137,0.494214575233684,12944,3,2
425,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,1,2
425,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,1,2
425,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,1,3
425,1,2010-03-01,0,1,1,1,NA,1,NA,0,0,0,1,1
425,1,2010-04-01,0,1,1,1,NA,1,NA,0,0,0,3,2
425,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,3,2
425,1,2010-02-01,0,1,1,1,NA,1,NA,0,0,0,1,2
425,1,2010-03-01,0,1,1,1,NA,1,NA,0,0,0,3,2
425,1,2010-03-01,0,1,1,1,NA,1,NA,0,0,0,3,2
426,1,2010-02-01,0,1,2,1,3,2,27,0,0,0,3,3
